Gene	DNA	RNA
TOBG-MED-1076_1101	7.28032522790848	15.4770836456141
TOBG-MED-1076_1131	9.1698752870603	1.85657491932122
TOBG-MED-1076_1195	4.48228978583917	13.6125735689037
TOBG-MED-1076_1248	2.77425788130462	3.37013368726669
TOBG-MED-1076_1298	5.94680030992524	3.61204922422395
TOBG-MED-1076_13	18.1093516975613	40.3315245036463
TOBG-MED-1076_183	0.991951827089099	4.82004256510809
TOBG-MED-1076_227	8.76827490952481	5.32579520651998
TOBG-MED-1076_252	37.8016886833709	15.3070058033546
TOBG-MED-1076_253	11.8700954802856	10.0937502036614
TOBG-MED-1076_265	15.1673442248093	163.983386245197
TOBG-MED-1076_278	1.12057244645979	259.319526487615
TOBG-MED-1076_338	8.4714644753519	22.6402634026111
TOBG-MED-1076_377	31.2013938338935	246.369902930184
TOBG-MED-1076_443	4.90307617389755	452.67085461458
TOBG-MED-1076_535	974.511003398352	158.23386722022
TOBG-MED-1076_549	1.36973051608312	9.15162300595851
TOBG-MED-1076_579	4.25976476101028	10.3494176353651
TOBG-MED-1076_664	11.7386351394615	7.12997338723034
TOBG-MED-1076_719	25.3785985057373	61.6592064754849
TOBG-MED-1076_747	31.8212890756265	19.3280514779666
TOBG-MED-1076_755	7.10800983789881	4.31736061120259
TOBG-MED-1076_856	6.54634148558528	23.8572406526399
TOBG-MED-1076_86	4.58493764353015	7.42629967728486
TOBG-MED-1094_138	2.36933661263294	4.31736061120259
TOBG-MED-1094_219	21.0746256597351	7.11144194242922
TOBG-MED-1094_292	1.41323960306459	3.43357149785053
TOBG-MED-1094_583	1.53809687913559	2.80269120343113
TOBG-MED-1094_865	5.02196347242851	4.27043277847213
TOBG-MED-1094_96	5.02196347242851	4.27043277847213
TOBG-MED-1116_119	22.3143095220724	20.3303575530624
TOBG-MED-1116_138	37.4016708137056	9.35428132427228
TOBG-MED-1116_143	7.46120287332235	13.5956635396255
TOBG-MED-1116_172	27.8551573937368	171.305360599282
TOBG-MED-1116_175	9.84634149676146	5.98060609256752
TOBG-MED-1116_199	51.8060878751439	1.96666831076344
TOBG-MED-1116_215	10.8547017705262	454.922368258133
TOBG-MED-1116_217	57.6359080542754	29.4801593249793
TOBG-MED-1116_223	14.1109738556472	1.07378063766481
TOBG-MED-1116_224	21.5278434158584	0.52303508479802
TOBG-MED-1116_227	8.66705384274819	8.4229026642798
TOBG-MED-1116_371	18.8876362044795	4.5888927251147
TOBG-MED-1116_391	962.54299888213	67.818539600974
TOBG-MED-1116_392	1997.02085681996	138.538090498716
TOBG-MED-1116_394	24.025073252098	9.12042429116547
TOBG-MED-1116_430	44.3085367354266	20.9321213239863
TOBG-MED-1116_442	26.893738715035	1.36125735689037
TOBG-MED-1116_468	19.5502404402244	22.429976556935
TOBG-MED-1116_484	12.9725017559924	11.0311827279755
TOBG-MED-1116_487	1642.82121447152	354.723221442957
TOBG-MED-1116_584	216.351738370496	8.50885065065
TOBG-MED-1116_585	12.9965620374564	4.51087445621785
TOBG-MED-1116_599	35.6526443587551	1.22421802565979
TOBG-MED-1116_614	15.205742564619	73.8869815993152
TOBG-MED-1116_632	43.8077151429809	1.40044902743424
TOBG-MED-1116_635	17.1607666086414	52.1167102352313
TOBG-MED-1116_646	6.12884521737193	29.780977277275
TOBG-MED-1116_647	3.05662509568677	35.2749234671031
TOBG-MED-1116_68	16.2331576027689	1.40855973608733
TOBG-MED-1116_682	83.8970811978024	243.211314431079
TOBG-MED-1116_684	43.0355673518889	14.7745191009534
TOBG-MED-1116_782	39.6810519178795	59.1595089156679
TOBG-MED-1116_797	60.4180836221399	148.948941086489
TOBG-MED-1116_818	38.3962357910242	23.3216328906514
TOBG-MED-1116_821	39.347522122663	7.13927537468922
TOBG-MED-1116_917	36.037609878147	1.04233420470463
TOBG-MED-1116_942	4.03782743732739	9.81020427957294
TOBG-MED-1116_946	9.31204389616201	22.6243083191702
