KO_ID	Category1
K02258	ATP synthesis
K02259	ATP synthesis
K02260	ATP synthesis
K02261	ATP synthesis
K02262	ATP synthesis
K02263	ATP synthesis
K02264	ATP synthesis
K02265	ATP synthesis
K02266	ATP synthesis
K02267	ATP synthesis
K02268	ATP synthesis
K02269	ATP synthesis
K02270	ATP synthesis
K02271	ATP synthesis
K02272	ATP synthesis
K02273	ATP synthesis
K02274	ATP synthesis
K02275	ATP synthesis
K02276	ATP synthesis
K02277	ATP synthesis
K02297	ATP synthesis
K02298	ATP synthesis
K02299	ATP synthesis
K02300	ATP synthesis
K02634	ATP synthesis
K02635	ATP synthesis
K02636	ATP synthesis
K02637	ATP synthesis
K02640	ATP synthesis
K02642	ATP synthesis
K02643	ATP synthesis
K02826	ATP synthesis
K02827	ATP synthesis
K02828	ATP synthesis
K02829	ATP synthesis
K03661	ATP synthesis
K03662	ATP synthesis
K03689	ATP synthesis
K03878	ATP synthesis
K03879	ATP synthesis
K03880	ATP synthesis
K03881	ATP synthesis
K03882	ATP synthesis
K03883	ATP synthesis
K03884	ATP synthesis
K03886	ATP synthesis
K03887	ATP synthesis
K03888	ATP synthesis
K03889	ATP synthesis
K03890	ATP synthesis
K03891	ATP synthesis
K03934	ATP synthesis
K03935	ATP synthesis
K03936	ATP synthesis
K03937	ATP synthesis
K03938	ATP synthesis
K03939	ATP synthesis
K03940	ATP synthesis
K03941	ATP synthesis
K03942	ATP synthesis
K03943	ATP synthesis
K03944	ATP synthesis
K03945	ATP synthesis
K03946	ATP synthesis
K03947	ATP synthesis
K03948	ATP synthesis
K03949	ATP synthesis
K03950	ATP synthesis
K03951	ATP synthesis
K03952	ATP synthesis
K03953	ATP synthesis
K03954	ATP synthesis
K03955	ATP synthesis
K03956	ATP synthesis
K03957	ATP synthesis
K03958	ATP synthesis
K03959	ATP synthesis
K03960	ATP synthesis
K03961	ATP synthesis
K03962	ATP synthesis
K03963	ATP synthesis
K03964	ATP synthesis
K03965	ATP synthesis
K03966	ATP synthesis
K03967	ATP synthesis
K03968	ATP synthesis
K05572	ATP synthesis
K05573	ATP synthesis
K05574	ATP synthesis
K05575	ATP synthesis
K05576	ATP synthesis
K05577	ATP synthesis
K05578	ATP synthesis
K05579	ATP synthesis
K05580	ATP synthesis
K05581	ATP synthesis
K05582	ATP synthesis
K05583	ATP synthesis
K05584	ATP synthesis
K05585	ATP synthesis
K11351	ATP synthesis
K11352	ATP synthesis
K11353	ATP synthesis
K13378	ATP synthesis
K13380	ATP synthesis
K15408	ATP synthesis
K15862	ATP synthesis
K15863	ATP synthesis
K00329	Oxidative phosphorylation
K00330	Oxidative phosphorylation
K00331	Oxidative phosphorylation
K00332	Oxidative phosphorylation
K00333	Oxidative phosphorylation
K13378	Oxidative phosphorylation
K13380	Oxidative phosphorylation
K00334	Oxidative phosphorylation
K00335	Oxidative phosphorylation
K00336	Oxidative phosphorylation
K00337	Oxidative phosphorylation
K00338	Oxidative phosphorylation
K00339	Oxidative phosphorylation
K00340	Oxidative phosphorylation
K00341	Oxidative phosphorylation
K00342	Oxidative phosphorylation
K15863	Oxidative phosphorylation
K00343	Oxidative phosphorylation
K05572	Oxidative phosphorylation
K05573	Oxidative phosphorylation
K05574	Oxidative phosphorylation
K05575	Oxidative phosphorylation
K05576	Oxidative phosphorylation
K05577	Oxidative phosphorylation
K05578	Oxidative phosphorylation
K05579	Oxidative phosphorylation
K05580	Oxidative phosphorylation
K05581	Oxidative phosphorylation
K05582	Oxidative phosphorylation
K05583	Oxidative phosphorylation
K05584	Oxidative phosphorylation
K05585	Oxidative phosphorylation
K05586	Oxidative phosphorylation
K05587	Oxidative phosphorylation
K05588	Oxidative phosphorylation
K03878	Oxidative phosphorylation
K03879	Oxidative phosphorylation
K03880	Oxidative phosphorylation
K03881	Oxidative phosphorylation
K03882	Oxidative phosphorylation
K03883	Oxidative phosphorylation
K03884	Oxidative phosphorylation
K03934	Oxidative phosphorylation
K03935	Oxidative phosphorylation
K03936	Oxidative phosphorylation
K03937	Oxidative phosphorylation
K03938	Oxidative phosphorylation
K03939	Oxidative phosphorylation
K03940	Oxidative phosphorylation
K03941	Oxidative phosphorylation
K03942	Oxidative phosphorylation
K03943	Oxidative phosphorylation
K03944	Oxidative phosphorylation
K03945	Oxidative phosphorylation
K03946	Oxidative phosphorylation
K03947	Oxidative phosphorylation
K03948	Oxidative phosphorylation
K03949	Oxidative phosphorylation
K03950	Oxidative phosphorylation
K03951	Oxidative phosphorylation
