KO_ID	Category1
K01106	Lipid metabolism
K01107	Lipid metabolism
K01109	Lipid metabolism
K01116	Lipid metabolism
K01441	Lipid metabolism
K01613	Lipid metabolism
K01634	Lipid metabolism
K03621	Lipid metabolism
K04628	Lipid metabolism
K04708	Lipid metabolism
K04709	Lipid metabolism
K04710	Lipid metabolism
K04712	Lipid metabolism
K04718	Lipid metabolism
K05857	Lipid metabolism
K05858	Lipid metabolism
K05859	Lipid metabolism
K05860	Lipid metabolism
K05861	Lipid metabolism
K07553	Lipid metabolism
K08591	Lipid metabolism
K10047	Lipid metabolism
K10572	Lipid metabolism
K11155	Lipid metabolism
K11160	Lipid metabolism
K12298	Lipid metabolism
K12348	Lipid metabolism
K12349	Lipid metabolism
K13506	Lipid metabolism
K13507	Lipid metabolism
K13508	Lipid metabolism
K13509	Lipid metabolism
K13513	Lipid metabolism
K13517	Lipid metabolism
K13519	Lipid metabolism
K13523	Lipid metabolism
K13534	Lipid metabolism
K13644	Lipid metabolism
K13711	Lipid metabolism
K13712	Lipid metabolism
K14073	Lipid metabolism
K14074	Lipid metabolism
K14075	Lipid metabolism
K14076	Lipid metabolism
K14156	Lipid metabolism
K14452	Lipid metabolism
K14456	Lipid metabolism
K14674	Lipid metabolism
K14675	Lipid metabolism
K15422	Lipid metabolism
K15759	Lipid metabolism
K16369	Lipid metabolism
K16816	Lipid metabolism
K17103	Lipid metabolism
K17900	Lipid metabolism
K18649	Lipid metabolism
K18851	Lipid metabolism
K19801	Lipid metabolism
K00677	Lipopolysaccharide metabolism
K00748	Lipopolysaccharide metabolism
K00912	Lipopolysaccharide metabolism
K00979	Lipopolysaccharide metabolism
K01627	Lipopolysaccharide metabolism
K02517	Lipopolysaccharide metabolism
K02527	Lipopolysaccharide metabolism
K02535	Lipopolysaccharide metabolism
K02536	Lipopolysaccharide metabolism
K02560	Lipopolysaccharide metabolism
K02840	Lipopolysaccharide metabolism
K02841	Lipopolysaccharide metabolism
K02843	Lipopolysaccharide metabolism
K02844	Lipopolysaccharide metabolism
K02847	Lipopolysaccharide metabolism
K02848	Lipopolysaccharide metabolism
K02849	Lipopolysaccharide metabolism
K02850	Lipopolysaccharide metabolism
K03269	Lipopolysaccharide metabolism
K03270	Lipopolysaccharide metabolism
K03271	Lipopolysaccharide metabolism
K03272	Lipopolysaccharide metabolism
K03273	Lipopolysaccharide metabolism
K03274	Lipopolysaccharide metabolism
K03278	Lipopolysaccharide metabolism
K03279	Lipopolysaccharide metabolism
K03280	Lipopolysaccharide metabolism
K06041	Lipopolysaccharide metabolism
K16363	Lipopolysaccharide metabolism
K00710	Glycan metabolism
K00717	Glycan metabolism
K00719	Glycan metabolism
K00727	Glycan metabolism
K00729	Glycan metabolism
K00730	Glycan metabolism
K00731	Glycan metabolism
K00736	Glycan metabolism
K00737	Glycan metabolism
K00738	Glycan metabolism
K00739	Glycan metabolism
K00744	Glycan metabolism
K00778	Glycan metabolism
K00779	Glycan metabolism
K01001	Glycan metabolism
K01228	Glycan metabolism
K01230	Glycan metabolism
K01231	Glycan metabolism
K01988	Glycan metabolism
K03369	Glycan metabolism
K03370	Glycan metabolism
K03371	Glycan metabolism
K03434	Glycan metabolism
K03766	Glycan metabolism
K03842	Glycan metabolism
K03843	Glycan metabolism
K03844	Glycan metabolism
K03845	Glycan metabolism
K03846	Glycan metabolism
K03847	Glycan metabolism
K03848	Glycan metabolism
K03849	Glycan metabolism
K03850	Glycan metabolism
K03857	Glycan metabolism
K03877	Glycan metabolism
K05283	Glycan metabolism
K05284	Glycan metabolism
K05285	Glycan metabolism
K05286	Glycan metabolism
K05287	Glycan metabolism
K05528	Glycan metabolism
K05529	Glycan metabolism
K05530	Glycan metabolism
K05531	Glycan metabolism
K05532	Glycan metabolism
K05533	Glycan metabolism
K05534	Glycan metabolism
K05535	Glycan metabolism
K05546	Glycan metabolism
K07151	Glycan metabolism
K07432	Glycan metabolism
K07441	Glycan metabolism
K07542	Glycan metabolism
K07819	Glycan metabolism
K07820	Glycan metabolism
K07966	Glycan metabolism
K07967	Glycan metabolism
K07968	Glycan metabolism
K07969	Glycan metabolism
K09653	Glycan metabolism
K09661	Glycan metabolism
K09662	Glycan metabolism
K09663	Glycan metabolism
K12666	Glycan metabolism
K12667	Glycan metabolism
K12668	Glycan metabolism
K12669	Glycan metabolism
K12670	Glycan metabolism
K12691	Glycan metabolism
K13748	Glycan metabolism
K00021	Terpenoid backbone biosynthesis
K00099	Terpenoid backbone biosynthesis
K00626	Terpenoid backbone biosynthesis
K00787	Terpenoid backbone biosynthesis
K00795	Terpenoid backbone biosynthesis
K00804	Terpenoid backbone biosynthesis
K00869	Terpenoid backbone biosynthesis
K00919	Terpenoid backbone biosynthesis
K00938	Terpenoid backbone biosynthesis
K00991	Terpenoid backbone biosynthesis
K01597	Terpenoid backbone biosynthesis
K01641	Terpenoid backbone biosynthesis
K01662	Terpenoid backbone biosynthesis
K01770	Terpenoid backbone biosynthesis
K01823	Terpenoid backbone biosynthesis
K03526	Terpenoid backbone biosynthesis
K03527	Terpenoid backbone biosynthesis
K12506	Terpenoid backbone biosynthesis
K13273	Terpenoid backbone biosynthesis
K13787	Terpenoid backbone biosynthesis
K13789	Terpenoid backbone biosynthesis
K14066	Terpenoid backbone biosynthesis
K00037	Sterol biosynthesis
K00070	Sterol biosynthesis
K00071	Sterol biosynthesis
K00213	Sterol biosynthesis
K00222	Sterol biosynthesis
K00223	Sterol biosynthesis
K00227	Sterol biosynthesis
K00251	Sterol biosynthesis
K00488	Sterol biosynthesis
K00489	Sterol biosynthesis
K00497	Sterol biosynthesis
K00498	Sterol biosynthesis
K00512	Sterol biosynthesis
K00513	Sterol biosynthesis
K00559	Sterol biosynthesis
K00659	Sterol biosynthesis
K01796	Sterol biosynthesis
K01822	Sterol biosynthesis
K01824	Sterol biosynthesis
K01852	Sterol biosynthesis
K05917	Sterol biosynthesis
K07419	Sterol biosynthesis
K07431	Sterol biosynthesis
K07433	Sterol biosynthesis
K07434	Sterol biosynthesis
K07438	Sterol biosynthesis
K07748	Sterol biosynthesis
K07750	Sterol biosynthesis
K08748	Sterol biosynthesis
K08764	Sterol biosynthesis
K09827	Sterol biosynthesis
K09828	Sterol biosynthesis
K09829	Sterol biosynthesis
K09831	Sterol biosynthesis
K10214	Sterol biosynthesis
K11992	Sterol biosynthesis
K12405	Sterol biosynthesis
K12408	Sterol biosynthesis
K13373	Sterol biosynthesis
K15680	Sterol biosynthesis
K00012	Nucleotide sugar
K00963	Nucleotide sugar
K00965	Nucleotide sugar
K00966	Nucleotide sugar
K00971	Nucleotide sugar
K00972	Nucleotide sugar
K01784	Nucleotide sugar
K01791	Nucleotide sugar
K04042	Nucleotide sugar
K08678	Nucleotide sugar
K11528	Nucleotide sugar
K16011	Nucleotide sugar
K16881	Nucleotide sugar
K17716	Nucleotide sugar
K00087	Purine metabolism
K00088	Purine metabolism
K00106	Purine metabolism
K00365	Purine metabolism
K00601	Purine metabolism
K00602	Purine metabolism
K00764	Purine metabolism
K00873	Purine metabolism
K00939	Purine metabolism
K00940	Purine metabolism
K00942	Purine metabolism
K00944	Purine metabolism
K01466	Purine metabolism
K01477	Purine metabolism
K01492	Purine metabolism
K01587	Purine metabolism
K01588	Purine metabolism
K01589	Purine metabolism
K01756	Purine metabolism
K01923	Purine metabolism
K01933	Purine metabolism
K01939	Purine metabolism
K01945	Purine metabolism
K01951	Purine metabolism
K01952	Purine metabolism
K06863	Purine metabolism
K07127	Purine metabolism
K08289	Purine metabolism
K11175	Purine metabolism
K11176	Purine metabolism
K11177	Purine metabolism
K11178	Purine metabolism
K11787	Purine metabolism
K11788	Purine metabolism
K11808	Purine metabolism
K12406	Purine metabolism
K13479	Purine metabolism
K13480	Purine metabolism
K13481	Purine metabolism
K13482	Purine metabolism
K13483	Purine metabolism
K13484	Purine metabolism
K13485	Purine metabolism
K13713	Purine metabolism
K16838	Purine metabolism
K16839	Purine metabolism
K16840	Purine metabolism
K16842	Purine metabolism
K18532	Purine metabolism
K18533	Purine metabolism
K00207	Pyrimidine metabolism
K00226	Pyrimidine metabolism
K00254	Pyrimidine metabolism
K00524	Pyrimidine metabolism
K00525	Pyrimidine metabolism
K00526	Pyrimidine metabolism
K00527	Pyrimidine metabolism
K00560	Pyrimidine metabolism
K00608	Pyrimidine metabolism
K00609	Pyrimidine metabolism
K00610	Pyrimidine metabolism
K00762	Pyrimidine metabolism
K00940	Pyrimidine metabolism
K00943	Pyrimidine metabolism
K00945	Pyrimidine metabolism
K01431	Pyrimidine metabolism
K01464	Pyrimidine metabolism
K01465	Pyrimidine metabolism
K01494	Pyrimidine metabolism
K01520	Pyrimidine metabolism
K01591	Pyrimidine metabolism
K01937	Pyrimidine metabolism
K01954	Pyrimidine metabolism
K01955	Pyrimidine metabolism
K01956	Pyrimidine metabolism
K06016	Pyrimidine metabolism
K10807	Pyrimidine metabolism
K10808	Pyrimidine metabolism
K11540	Pyrimidine metabolism
K11541	Pyrimidine metabolism
K13421	Pyrimidine metabolism
K13799	Pyrimidine metabolism
K13800	Pyrimidine metabolism
K13809	Pyrimidine metabolism
K13998	Pyrimidine metabolism
K17722	Pyrimidine metabolism
K17723	Pyrimidine metabolism
K17828	Pyrimidine metabolism
K18533	Pyrimidine metabolism
K00003	Serine/threonine metabolism
K00058	Serine/threonine metabolism
K00108	Serine/threonine metabolism
K00130	Serine/threonine metabolism
K00133	Serine/threonine metabolism
K00831	Serine/threonine metabolism
K00872	Serine/threonine metabolism
K00928	Serine/threonine metabolism
K01079	Serine/threonine metabolism
K01733	Serine/threonine metabolism
K02203	Serine/threonine metabolism
K02204	Serine/threonine metabolism
K11440	Serine/threonine metabolism
K12524	Serine/threonine metabolism
K12525	Serine/threonine metabolism
K12526	Serine/threonine metabolism
K17755	Serine/threonine metabolism
K00003	Cysteine/methionine metabolism
K00133	Cysteine/methionine metabolism
K00548	Cysteine/methionine metabolism
K00549	Cysteine/methionine metabolism
K00558	Cysteine/methionine metabolism
K00640	Cysteine/methionine metabolism
K00651	Cysteine/methionine metabolism
K00772	Cysteine/methionine metabolism
K00789	Cysteine/methionine metabolism
K00797	Cysteine/methionine metabolism
K00815	Cysteine/methionine metabolism
K00832	Cysteine/methionine metabolism
K00838	Cysteine/methionine metabolism
K00899	Cysteine/methionine metabolism
K00928	Cysteine/methionine metabolism
K01243	Cysteine/methionine metabolism
K01244	Cysteine/methionine metabolism
K01251	Cysteine/methionine metabolism
K01611	Cysteine/methionine metabolism
K01697	Cysteine/methionine metabolism
K01738	Cysteine/methionine metabolism
K01739	Cysteine/methionine metabolism
K01758	Cysteine/methionine metabolism
K01760	Cysteine/methionine metabolism
K01762	Cysteine/methionine metabolism
K05933	Cysteine/methionine metabolism
K07173	Cysteine/methionine metabolism
K08963	Cysteine/methionine metabolism
K08964	Cysteine/methionine metabolism
K08965	Cysteine/methionine metabolism
K08966	Cysteine/methionine metabolism
K08967	Cysteine/methionine metabolism
K08969	Cysteine/methionine metabolism
K09880	Cysteine/methionine metabolism
K10150	Cysteine/methionine metabolism
K12339	Cysteine/methionine metabolism
K12524	Cysteine/methionine metabolism
K12525	Cysteine/methionine metabolism
K12526	Cysteine/methionine metabolism
K13034	Cysteine/methionine metabolism
K16054	Cysteine/methionine metabolism
K17069	Cysteine/methionine metabolism
K17216	Cysteine/methionine metabolism
K17217	Cysteine/methionine metabolism
K17398	Cysteine/methionine metabolism
K17399	Cysteine/methionine metabolism
K17462	Cysteine/methionine metabolism
K18284	Cysteine/methionine metabolism
K20772	Cysteine/methionine metabolism
K00052	Branched chain amino acid metabolism
K00053	Branched chain amino acid metabolism
K00166	Branched chain amino acid metabolism
K00167	Branched chain amino acid metabolism
K00249	Branched chain amino acid metabolism
K00253	Branched chain amino acid metabolism
K00382	Branched chain amino acid metabolism
K00826	Branched chain amino acid metabolism
K01640	Branched chain amino acid metabolism
K01649	Branched chain amino acid metabolism
K01652	Branched chain amino acid metabolism
K01653	Branched chain amino acid metabolism
K01687	Branched chain amino acid metabolism
K01702	Branched chain amino acid metabolism
K01703	Branched chain amino acid metabolism
K01704	Branched chain amino acid metabolism
K01754	Branched chain amino acid metabolism
K01968	Branched chain amino acid metabolism
K01969	Branched chain amino acid metabolism
K05607	Branched chain amino acid metabolism
K09011	Branched chain amino acid metabolism
K09699	Branched chain amino acid metabolism
K11258	Branched chain amino acid metabolism
K11381	Branched chain amino acid metabolism
K13766	Branched chain amino acid metabolism
K17989	Branched chain amino acid metabolism
K00022	Lysine metabolism
K00133	Lysine metabolism
K00143	Lysine metabolism
K00164	Lysine metabolism
K00215	Lysine metabolism
K00252	Lysine metabolism
K00290	Lysine metabolism
K00293	Lysine metabolism
K00658	Lysine metabolism
K00674	Lysine metabolism
K00821	Lysine metabolism
K00825	Lysine metabolism
K00838	Lysine metabolism
K00841	Lysine metabolism
K00928	Lysine metabolism
K01439	Lysine metabolism
K01586	Lysine metabolism
K01655	Lysine metabolism
K01692	Lysine metabolism
K01705	Lysine metabolism
K01714	Lysine metabolism
K01778	Lysine metabolism
K01782	Lysine metabolism
K01825	Lysine metabolism
K03340	Lysine metabolism
K05822	Lysine metabolism
K05823	Lysine metabolism
K05824	Lysine metabolism
K05826	Lysine metabolism
K05827	Lysine metabolism
K05828	Lysine metabolism
K05829	Lysine metabolism
K05830	Lysine metabolism
K05831	Lysine metabolism
K07511	Lysine metabolism
K07514	Lysine metabolism
K07515	Lysine metabolism
K10206	Lysine metabolism
K12524	Lysine metabolism
K12525	Lysine metabolism
K12526	Lysine metabolism
K14085	Lysine metabolism
K14157	Lysine metabolism
K14267	Lysine metabolism
K16792	Lysine metabolism
K16793	Lysine metabolism
K17450	Lysine metabolism
K00145	Arginine/proline metabolism
K00147	Arginine/proline metabolism
K00286	Arginine/proline metabolism
K00611	Arginine/proline metabolism
K00618	Arginine/proline metabolism
K00619	Arginine/proline metabolism
K00620	Arginine/proline metabolism
K00818	Arginine/proline metabolism
K00821	Arginine/proline metabolism
K00930	Arginine/proline metabolism
K00931	Arginine/proline metabolism
K01438	Arginine/proline metabolism
K01476	Arginine/proline metabolism
K01755	Arginine/proline metabolism
K01940	Arginine/proline metabolism
K01948	Arginine/proline metabolism
K05826	Arginine/proline metabolism
K05828	Arginine/proline metabolism
K05829	Arginine/proline metabolism
K05830	Arginine/proline metabolism
K05831	Arginine/proline metabolism
K11067	Arginine/proline metabolism
K12657	Arginine/proline metabolism
K12659	Arginine/proline metabolism
K14677	Arginine/proline metabolism
K14681	Arginine/proline metabolism
K14682	Arginine/proline metabolism
K19412	Arginine/proline metabolism
K00013	Histidine metabolism
K00765	Histidine metabolism
K00817	Histidine metabolism
K01089	Histidine metabolism
K01468	Histidine metabolism
K01479	Histidine metabolism
K01496	Histidine metabolism
K01523	Histidine metabolism
K01663	Histidine metabolism
K01693	Histidine metabolism
K01712	Histidine metabolism
K01745	Histidine metabolism
K01814	Histidine metabolism
K02500	Histidine metabolism
K02501	Histidine metabolism
K02502	Histidine metabolism
K04486	Histidine metabolism
K05602	Histidine metabolism
K11755	Histidine metabolism
K14152	Histidine metabolism
K18649	Histidine metabolism
K00014	Aromatic amino acid metabolism
K00151	Aromatic amino acid metabolism
K00210	Aromatic amino acid metabolism
K00220	Aromatic amino acid metabolism
K00431	Aromatic amino acid metabolism
K00451	Aromatic amino acid metabolism
K00452	Aromatic amino acid metabolism
K00453	Aromatic amino acid metabolism
K00455	Aromatic amino acid metabolism
K00457	Aromatic amino acid metabolism
K00463	Aromatic amino acid metabolism
K00486	Aromatic amino acid metabolism
K00487	Aromatic amino acid metabolism
K00501	Aromatic amino acid metabolism
K00502	Aromatic amino acid metabolism
K00503	Aromatic amino acid metabolism
K00505	Aromatic amino acid metabolism
K00529	Aromatic amino acid metabolism
K00543	Aromatic amino acid metabolism
K00553	Aromatic amino acid metabolism
K00588	Aromatic amino acid metabolism
K00669	Aromatic amino acid metabolism
K00766	Aromatic amino acid metabolism
K00800	Aromatic amino acid metabolism
K00815	Aromatic amino acid metabolism
K00832	Aromatic amino acid metabolism
K00838	Aromatic amino acid metabolism
K00891	Aromatic amino acid metabolism
K01432	Aromatic amino acid metabolism
K01555	Aromatic amino acid metabolism
K01556	Aromatic amino acid metabolism
K01592	Aromatic amino acid metabolism
K01593	Aromatic amino acid metabolism
K01609	Aromatic amino acid metabolism
K01626	Aromatic amino acid metabolism
K01656	Aromatic amino acid metabolism
K01657	Aromatic amino acid metabolism
K01658	Aromatic amino acid metabolism
K01666	Aromatic amino acid metabolism
K01694	Aromatic amino acid metabolism
K01695	Aromatic amino acid metabolism
K01696	Aromatic amino acid metabolism
K01713	Aromatic amino acid metabolism
K01735	Aromatic amino acid metabolism
K01736	Aromatic amino acid metabolism
K01800	Aromatic amino acid metabolism
K01817	Aromatic amino acid metabolism
K01826	Aromatic amino acid metabolism
K01850	Aromatic amino acid metabolism
K01904	Aromatic amino acid metabolism
K02554	Aromatic amino acid metabolism
K03334	Aromatic amino acid metabolism
K03392	Aromatic amino acid metabolism
K03785	Aromatic amino acid metabolism
K03786	Aromatic amino acid metabolism
K03856	Aromatic amino acid metabolism
K04073	Aromatic amino acid metabolism
K04092	Aromatic amino acid metabolism
K04093	Aromatic amino acid metabolism
K04516	Aromatic amino acid metabolism
K04517	Aromatic amino acid metabolism
K04518	Aromatic amino acid metabolism
K05359	Aromatic amino acid metabolism
K05708	Aromatic amino acid metabolism
K05709	Aromatic amino acid metabolism
K05710	Aromatic amino acid metabolism
K05711	Aromatic amino acid metabolism
K05712	Aromatic amino acid metabolism
K05713	Aromatic amino acid metabolism
K05714	Aromatic amino acid metabolism
K05921	Aromatic amino acid metabolism
K06001	Aromatic amino acid metabolism
K06208	Aromatic amino acid metabolism
K06209	Aromatic amino acid metabolism
K07130	Aromatic amino acid metabolism
K10217	Aromatic amino acid metabolism
K10219	Aromatic amino acid metabolism
K10775	Aromatic amino acid metabolism
K13064	Aromatic amino acid metabolism
K13497	Aromatic amino acid metabolism
K13498	Aromatic amino acid metabolism
K13501	Aromatic amino acid metabolism
K13503	Aromatic amino acid metabolism
K13829	Aromatic amino acid metabolism
K13830	Aromatic amino acid metabolism
K13832	Aromatic amino acid metabolism
K13853	Aromatic amino acid metabolism
K14170	Aromatic amino acid metabolism
K14187	Aromatic amino acid metabolism
K14263	Aromatic amino acid metabolism
K15226	Aromatic amino acid metabolism
K15227	Aromatic amino acid metabolism
K15849	Aromatic amino acid metabolism
K16171	Aromatic amino acid metabolism
K00133	Other amino acid metabolism
K00135	Other amino acid metabolism
K00139	Other amino acid metabolism
K00542	Other amino acid metabolism
K00613	Other amino acid metabolism
K00823	Other amino acid metabolism
K00836	Other amino acid metabolism
K00928	Other amino acid metabolism
K00933	Other amino acid metabolism
K01580	Other amino acid metabolism
K06718	Other amino acid metabolism
K06720	Other amino acid metabolism
K07250	Other amino acid metabolism
K13524	Other amino acid metabolism
K16871	Other amino acid metabolism
K00128	Polyamine biosynthesis
K00149	Polyamine biosynthesis
K00274	Polyamine biosynthesis
K00657	Polyamine biosynthesis
K00797	Polyamine biosynthesis
K01476	Polyamine biosynthesis
K01480	Polyamine biosynthesis
K01581	Polyamine biosynthesis
K01583	Polyamine biosynthesis
K01584	Polyamine biosynthesis
K01585	Polyamine biosynthesis
K01611	Polyamine biosynthesis
K02626	Polyamine biosynthesis
K09470	Polyamine biosynthesis
K09471	Polyamine biosynthesis
K09472	Polyamine biosynthesis
K09473	Polyamine biosynthesis
K14085	Polyamine biosynthesis
K00012	Cofactor/vitamin biosynthesis
K00059	Cofactor/vitamin biosynthesis
K00064	Cofactor/vitamin biosynthesis
K00077	Cofactor/vitamin biosynthesis
K00082	Cofactor/vitamin biosynthesis
K00097	Cofactor/vitamin biosynthesis
K00103	Cofactor/vitamin biosynthesis
K00208	Cofactor/vitamin biosynthesis
K00225	Cofactor/vitamin biosynthesis
K00228	Cofactor/vitamin biosynthesis
K00230	Cofactor/vitamin biosynthesis
K00231	Cofactor/vitamin biosynthesis
K00275	Cofactor/vitamin biosynthesis
K00278	Cofactor/vitamin biosynthesis
K00287	Cofactor/vitamin biosynthesis
K00288	Cofactor/vitamin biosynthesis
K00568	Cofactor/vitamin biosynthesis
K00589	Cofactor/vitamin biosynthesis
K00591	Cofactor/vitamin biosynthesis
K00600	Cofactor/vitamin biosynthesis
K00606	Cofactor/vitamin biosynthesis
K00647	Cofactor/vitamin biosynthesis
K00652	Cofactor/vitamin biosynthesis
K00699	Cofactor/vitamin biosynthesis
K00767	Cofactor/vitamin biosynthesis
K00768	Cofactor/vitamin biosynthesis
K00788	Cofactor/vitamin biosynthesis
K00793	Cofactor/vitamin biosynthesis
K00794	Cofactor/vitamin biosynthesis
K00796	Cofactor/vitamin biosynthesis
K00798	Cofactor/vitamin biosynthesis
K00826	Cofactor/vitamin biosynthesis
K00831	Cofactor/vitamin biosynthesis
K00833	Cofactor/vitamin biosynthesis
K00859	Cofactor/vitamin biosynthesis
K00861	Cofactor/vitamin biosynthesis
K00867	Cofactor/vitamin biosynthesis
K00877	Cofactor/vitamin biosynthesis
K00878	Cofactor/vitamin biosynthesis
K00941	Cofactor/vitamin biosynthesis
K00946	Cofactor/vitamin biosynthesis
K00950	Cofactor/vitamin biosynthesis
K00953	Cofactor/vitamin biosynthesis
K00954	Cofactor/vitamin biosynthesis
K00963	Cofactor/vitamin biosynthesis
K00966	Cofactor/vitamin biosynthesis
K00969	Cofactor/vitamin biosynthesis
K00971	Cofactor/vitamin biosynthesis
K01012	Cofactor/vitamin biosynthesis
K01053	Cofactor/vitamin biosynthesis
K01077	Cofactor/vitamin biosynthesis
K01113	Cofactor/vitamin biosynthesis
K01195	Cofactor/vitamin biosynthesis
K01491	Cofactor/vitamin biosynthesis
K01495	Cofactor/vitamin biosynthesis
K01497	Cofactor/vitamin biosynthesis
K01498	Cofactor/vitamin biosynthesis
K01579	Cofactor/vitamin biosynthesis
K01598	Cofactor/vitamin biosynthesis
K01599	Cofactor/vitamin biosynthesis
K01633	Cofactor/vitamin biosynthesis
K01661	Cofactor/vitamin biosynthesis
K01698	Cofactor/vitamin biosynthesis
K01719	Cofactor/vitamin biosynthesis
K01749	Cofactor/vitamin biosynthesis
K01772	Cofactor/vitamin biosynthesis
K01799	Cofactor/vitamin biosynthesis
K01809	Cofactor/vitamin biosynthesis
K01810	Cofactor/vitamin biosynthesis
K01840	Cofactor/vitamin biosynthesis
K01845	Cofactor/vitamin biosynthesis
K01851	Cofactor/vitamin biosynthesis
K01885	Cofactor/vitamin biosynthesis
K01906	Cofactor/vitamin biosynthesis
K01911	Cofactor/vitamin biosynthesis
K01916	Cofactor/vitamin biosynthesis
K01918	Cofactor/vitamin biosynthesis
K01919	Cofactor/vitamin biosynthesis
K01920	Cofactor/vitamin biosynthesis
K01922	Cofactor/vitamin biosynthesis
K01930	Cofactor/vitamin biosynthesis
K01935	Cofactor/vitamin biosynthesis
K01938	Cofactor/vitamin biosynthesis
K01947	Cofactor/vitamin biosynthesis
K01950	Cofactor/vitamin biosynthesis
K02169	Cofactor/vitamin biosynthesis
K02170	Cofactor/vitamin biosynthesis
K02201	Cofactor/vitamin biosynthesis
K02225	Cofactor/vitamin biosynthesis
K02226	Cofactor/vitamin biosynthesis
K02227	Cofactor/vitamin biosynthesis
K02231	Cofactor/vitamin biosynthesis
K02232	Cofactor/vitamin biosynthesis
K02233	Cofactor/vitamin biosynthesis
K02302	Cofactor/vitamin biosynthesis
K02303	Cofactor/vitamin biosynthesis
K02304	Cofactor/vitamin biosynthesis
K02318	Cofactor/vitamin biosynthesis
K02361	Cofactor/vitamin biosynthesis
K02372	Cofactor/vitamin biosynthesis
K02492	Cofactor/vitamin biosynthesis
K02495	Cofactor/vitamin biosynthesis
K02496	Cofactor/vitamin biosynthesis
K02548	Cofactor/vitamin biosynthesis
K02549	Cofactor/vitamin biosynthesis
K02551	Cofactor/vitamin biosynthesis
K02552	Cofactor/vitamin biosynthesis
K02821	Cofactor/vitamin biosynthesis
K02822	Cofactor/vitamin biosynthesis
K02858	Cofactor/vitamin biosynthesis
K03077	Cofactor/vitamin biosynthesis
K03078	Cofactor/vitamin biosynthesis
K03079	Cofactor/vitamin biosynthesis
K03147	Cofactor/vitamin biosynthesis
K03179	Cofactor/vitamin biosynthesis
K03181	Cofactor/vitamin biosynthesis
K03182	Cofactor/vitamin biosynthesis
K03183	Cofactor/vitamin biosynthesis
K03184	Cofactor/vitamin biosynthesis
K03185	Cofactor/vitamin biosynthesis
K03186	Cofactor/vitamin biosynthesis
K03472	Cofactor/vitamin biosynthesis
K03473	Cofactor/vitamin biosynthesis
K03474	Cofactor/vitamin biosynthesis
K03475	Cofactor/vitamin biosynthesis
K03476	Cofactor/vitamin biosynthesis
K03517	Cofactor/vitamin biosynthesis
K03525	Cofactor/vitamin biosynthesis
K03794	Cofactor/vitamin biosynthesis
K05928	Cofactor/vitamin biosynthesis
K06125	Cofactor/vitamin biosynthesis
K06126	Cofactor/vitamin biosynthesis
K06127	Cofactor/vitamin biosynthesis
K06134	Cofactor/vitamin biosynthesis
K06210	Cofactor/vitamin biosynthesis
K06859	Cofactor/vitamin biosynthesis
K08680	Cofactor/vitamin biosynthesis
K09007	Cofactor/vitamin biosynthesis
K09458	Cofactor/vitamin biosynthesis
K09680	Cofactor/vitamin biosynthesis
K09789	Cofactor/vitamin biosynthesis
K09833	Cofactor/vitamin biosynthesis
K09834	Cofactor/vitamin biosynthesis
K10046	Cofactor/vitamin biosynthesis
K10047	Cofactor/vitamin biosynthesis
K11204	Cofactor/vitamin biosynthesis
K11205	Cofactor/vitamin biosynthesis
K11752	Cofactor/vitamin biosynthesis
K11753	Cofactor/vitamin biosynthesis
K11754	Cofactor/vitamin biosynthesis
K12073	Cofactor/vitamin biosynthesis
K12502	Cofactor/vitamin biosynthesis
K13038	Cofactor/vitamin biosynthesis
K13402	Cofactor/vitamin biosynthesis
K13403	Cofactor/vitamin biosynthesis
K13542	Cofactor/vitamin biosynthesis
K13543	Cofactor/vitamin biosynthesis
K13799	Cofactor/vitamin biosynthesis
K13810	Cofactor/vitamin biosynthesis
K13938	Cofactor/vitamin biosynthesis
K13939	Cofactor/vitamin biosynthesis
K13940	Cofactor/vitamin biosynthesis
K13941	Cofactor/vitamin biosynthesis
K13995	Cofactor/vitamin biosynthesis
K13998	Cofactor/vitamin biosynthesis
K14153	Cofactor/vitamin biosynthesis
K14154	Cofactor/vitamin biosynthesis
K14163	Cofactor/vitamin biosynthesis
K14190	Cofactor/vitamin biosynthesis
K14652	Cofactor/vitamin biosynthesis
K14756	Cofactor/vitamin biosynthesis
K14974	Cofactor/vitamin biosynthesis
K15357	Cofactor/vitamin biosynthesis
K15778	Cofactor/vitamin biosynthesis
K15916	Cofactor/vitamin biosynthesis
K16011	Cofactor/vitamin biosynthesis
K16593	Cofactor/vitamin biosynthesis
K16881	Cofactor/vitamin biosynthesis
K17497	Cofactor/vitamin biosynthesis
K17744	Cofactor/vitamin biosynthesis
K18028	Cofactor/vitamin biosynthesis
K18029	Cofactor/vitamin biosynthesis
K18030	Cofactor/vitamin biosynthesis
K18240	Cofactor/vitamin biosynthesis
K18534	Cofactor/vitamin biosynthesis
K18649	Cofactor/vitamin biosynthesis
K18800	Cofactor/vitamin biosynthesis
K18824	Cofactor/vitamin biosynthesis
K18825	Cofactor/vitamin biosynthesis
K18974	Cofactor/vitamin biosynthesis
K19221	Cofactor/vitamin biosynthesis
K19222	Cofactor/vitamin biosynthesis
K19560	Cofactor/vitamin biosynthesis
K19561	Cofactor/vitamin biosynthesis
K19562	Cofactor/vitamin biosynthesis
K19563	Cofactor/vitamin biosynthesis
K20457	Cofactor/vitamin biosynthesis
