CDS	DNA	RNA
TOBG-MED-628_202	155.977042	0
TOBG-MED-628_203	111.933788	4.634397
TOBG-MED-628_204	164.113289	0
TOBG-MED-628_205	112.143855	0
TOBG-MED-628_206	154.318979	11.999002
TOBG-MED-628_207	188.180619	0
TOBG-MED-628_208	104.018581	6.743883
TOBG-MED-628_209	46.097716	0
TOBG-MED-628_21	963.65241	0
TOBG-MED-628_210	1048.607589	456.010678
TOBG-MED-628_211	153.412459	99.254918
TOBG-MED-628_212	225.484954	37.804747
TOBG-MED-628_213	252.921462	22.805563
TOBG-MED-628_214	158.479273	43.917335
TOBG-MED-628_215	240.839525	86.35678
TOBG-MED-628_216	174.521996	0
TOBG-MED-628_217	177.854913	23.895122
TOBG-MED-628_218	159.291861	138.762626
TOBG-MED-628_219	130.290737	24.814974
TOBG-MED-628_22	139.849244	77.058868
TOBG-MED-628_220	135.207795	71.907041
TOBG-MED-628_221	199.452104	87.889687
TOBG-MED-628_222	172.059573	68.480023
TOBG-MED-628_223	141.37807	27.540371
TOBG-MED-628_224	150.966355	220.793164
TOBG-MED-628_225	178.17108	85.035938
TOBG-MED-628_226	161.12237	36.822109
TOBG-MED-628_227	163.703865	21.201472
TOBG-MED-628_228	177.233332	75.182601
TOBG-MED-628_229	134.486625	25.232811
TOBG-MED-628_23	123.478621	21.816504
TOBG-MED-628_230	232.986613	0
TOBG-MED-628_231	143.032378	37.139551
TOBG-MED-628_232	140.088222	30.57824
TOBG-MED-628_233	177.276374	26.765776
TOBG-MED-628_234	227.909041	57.144104
TOBG-MED-628_235	163.953543	139.026064
TOBG-MED-628_236	251.309651	73.241406
TOBG-MED-628_237	235.000271	22.30075
TOBG-MED-628_238	148.561162	29.40938
TOBG-MED-628_239	153.113336	0
TOBG-MED-628_24	91.418773	13.995618
TOBG-MED-628_240	127.937936	0
TOBG-MED-628_241	151.357177	10.322635
TOBG-MED-628_242	152.14241	47.1481
TOBG-MED-628_243	191.507434	5.421516
TOBG-MED-628_244	258.296913	114.288209
TOBG-MED-628_245	143.791633	32.847233
TOBG-MED-628_246	149.325755	10.598877
TOBG-MED-628_247	131.821877	25.733208
TOBG-MED-628_248	153.538531	4.674082
TOBG-MED-628_249	379.848401	297.149343
TOBG-MED-628_25	111.197865	21.686063
TOBG-MED-628_250	211.971435	33.479113
TOBG-MED-628_251	190.663917	17.453569
TOBG-MED-628_252	174.109709	40.613451
TOBG-MED-628_253	158.025509	49.068965
TOBG-MED-628_254	128.784909	91.042417
TOBG-MED-628_255	153.793988	0
TOBG-MED-628_256	122.465271	0
TOBG-MED-628_257	143.862482	0
TOBG-MED-628_258	162.816749	0
TOBG-MED-628_259	180.084178	0
TOBG-MED-628_26	119.474428	0
TOBG-MED-628_260	124.624197	0
TOBG-MED-628_261	131.476133	5.633889
TOBG-MED-628_262	109.65023	2.178477
TOBG-MED-628_263	146.467075	0
TOBG-MED-628_264	137.212164	5.150321
TOBG-MED-628_265	156.77185	0
TOBG-MED-628_266	135.420429	0
TOBG-MED-628_267	246.110064	155.220537
TOBG-MED-628_268	123.639234	100.256681
TOBG-MED-628_269	189.795156	0
TOBG-MED-628_27	115.081778	0
TOBG-MED-628_270	135.380123	2.379559
TOBG-MED-628_271	133.306917	5.046562
TOBG-MED-628_272	125.460629	0
TOBG-MED-628_273	156.983094	0
TOBG-MED-628_274	140.664712	2.629142
TOBG-MED-628_275	152.884489	0
TOBG-MED-628_276	108.541409	0
TOBG-MED-628_277	125.107293	0
TOBG-MED-628_278	135.830289	0
TOBG-MED-628_279	130.20707	4.327697
TOBG-MED-628_28	114.538873	4.399108
TOBG-MED-628_280	130.249691	20.853832
TOBG-MED-628_281	127.722318	0
TOBG-MED-628_282	133.055595	0
TOBG-MED-628_283	193.690853	0
TOBG-MED-628_284	279.420671	0
TOBG-MED-628_285	210.302288	0
TOBG-MED-628_286	132.892877	0
TOBG-MED-628_287	120.640457	1.207943
TOBG-MED-628_288	121.214782	0
TOBG-MED-628_289	140.687317	15.273846
TOBG-MED-628_29	123.254644	13.104365
TOBG-MED-628_290	106.555856	0
TOBG-MED-628_291	129.77146	0
TOBG-MED-628_292	130.751935	1.659917
TOBG-MED-628_293	111.711528	0
TOBG-MED-628_294	140.328066	1.373399
TOBG-MED-628_295	151.953719	12.311473
TOBG-MED-628_296	134.486575	6.716408
TOBG-MED-628_297	155.729335	6.06756
TOBG-MED-628_298	408.031058	2205.364544
TOBG-MED-628_299	485.335402	0
TOBG-MED-628_3	135.461024	0
TOBG-MED-628_30	62.934749	0
TOBG-MED-628_300	132.050274	0
TOBG-MED-628_301	163.310339	1.581262
TOBG-MED-628_302	147.514187	0
TOBG-MED-628_303	183.260234	103.165418
TOBG-MED-628_304	128.909739	0
TOBG-MED-628_305	104.571884	3.844183
TOBG-MED-628_306	131.829918	12.480268
TOBG-MED-628_307	108.846336	7.902686
TOBG-MED-628_308	128.372511	12.738013
TOBG-MED-628_309	132.842486	0
TOBG-MED-628_31	64.03586	0
TOBG-MED-628_310	115.827408	8.853865
TOBG-MED-628_311	137.647658	0
TOBG-MED-628_312	182.111488	260.085513
TOBG-MED-628_313	151.013208	50.557576
TOBG-MED-628_314	118.424072	1.514391
TOBG-MED-628_315	127.005642	0
TOBG-MED-628_316	102.131355	4.114574
TOBG-MED-628_317	117.595662	0
TOBG-MED-628_318	121.400797	24.97564
TOBG-MED-628_319	140.465658	0
TOBG-MED-628_32	542.656367	0
TOBG-MED-628_320	110.765592	0
TOBG-MED-628_321	132.055866	7.963735
TOBG-MED-628_322	111.236721	7.469626
TOBG-MED-628_323	502.768065	245.371628
TOBG-MED-628_324	102.345934	0
TOBG-MED-628_325	132.076935	48.009098
TOBG-MED-628_326	128.368148	19.098968
TOBG-MED-628_327	144.861342	0
TOBG-MED-628_328	111.952258	0
TOBG-MED-628_329	270.86219	211.23093
TOBG-MED-628_33	307.797943	20.117231
TOBG-MED-628_330	221.150482	88.711355
TOBG-MED-628_331	129.404617	0
TOBG-MED-628_332	121.869094	0
TOBG-MED-628_333	122.073152	0
TOBG-MED-628_334	66.629746	2.31129
TOBG-MED-628_335	66.50318	0
TOBG-MED-628_336	239.342525	58.593125
TOBG-MED-628_337	172.896757	18.086766
TOBG-MED-628_338	142.307153	5.553397
TOBG-MED-628_339	161.30277	3.05028
TOBG-MED-628_34	116.852334	1.168521
TOBG-MED-628_340	133.952277	6.441779
TOBG-MED-628_341	119.482548	3.934369
TOBG-MED-628_342	131.467373	0
TOBG-MED-628_343	153.573392	0
TOBG-MED-628_344	160.507272	0
TOBG-MED-628_345	172.750905	0
TOBG-MED-628_346	113.005736	0
TOBG-MED-628_347	122.917837	5.495243
TOBG-MED-628_348	124.096561	1.51344
TOBG-MED-628_349	636.211547	0
TOBG-MED-628_35	133.055595	0
TOBG-MED-628_350	102.665418	17.201355
TOBG-MED-628_351	153.089328	0
TOBG-MED-628_352	135.717825	35.314818
TOBG-MED-628_353	127.564465	0
TOBG-MED-628_354	139.049055	0
TOBG-MED-628_355	121.575474	15.812619
TOBG-MED-628_356	167.860971	0
TOBG-MED-628_357	136.28078	0
TOBG-MED-628_358	291.020693	45.78792
TOBG-MED-628_359	152.882362	6.405521
TOBG-MED-628_36	122.379354	0
TOBG-MED-628_360	112.173445	0
TOBG-MED-628_361	143.488039	19.399894
TOBG-MED-628_362	655.973366	0
TOBG-MED-628_363	138.101034	5.094431
TOBG-MED-628_364	138.776073	0
TOBG-MED-628_365	202.56434	0
TOBG-MED-628_366	69.6087	0
TOBG-MED-628_367	126.239869	0
TOBG-MED-628_369	9.19599	0
TOBG-MED-628_37	155.049993	25.912286
TOBG-MED-628_370	119.528847	17.655525
TOBG-MED-628_371	89.210115	1.381889
TOBG-MED-628_372	591.89399	0
TOBG-MED-628_373	983.96005	897.604678
TOBG-MED-628_374	126.968425	3.603566
TOBG-MED-628_375	150.783588	0
TOBG-MED-628_376	140.695091	5.087077
TOBG-MED-628_377	169.442075	0
TOBG-MED-628_378	131.892316	6.512793
TOBG-MED-628_379	143.971748	4.789375
TOBG-MED-628_38	115.058033	0
TOBG-MED-628_380	162.658826	3492.660176
TOBG-MED-628_381	143.278371	3.778523
TOBG-MED-628_382	160.948296	3.16599
TOBG-MED-628_383	169.738317	72.476556
TOBG-MED-628_384	169.28268	5.458698
TOBG-MED-628_385	136.470403	0
TOBG-MED-628_386	147.332496	17.432985
TOBG-MED-628_387	151.642032	9.061928
TOBG-MED-628_388	174.109709	0
TOBG-MED-628_389	147.185138	3.838857
TOBG-MED-628_39	113.117213	4.928172
TOBG-MED-628_390	160.023078	2.149679
TOBG-MED-628_391	150.516699	11.183978
TOBG-MED-628_392	463.221383	292.688337
TOBG-MED-628_393	175.119087	0
TOBG-MED-628_394	155.681894	1.640313
TOBG-MED-628_395	199.767575	0
TOBG-MED-628_396	154.996213	0
TOBG-MED-628_397	170.514613	0
TOBG-MED-628_398	222.292635	15.282342
TOBG-MED-628_399	151.385801	11.938686
TOBG-MED-628_4	131.312939	0
TOBG-MED-628_40	114.000963	2.502828
TOBG-MED-628_400	147.625243	19.358839
TOBG-MED-628_401	163.346254	0
TOBG-MED-628_402	155.311183	0
TOBG-MED-628_403	134.258358	0
TOBG-MED-628_404	143.488039	23.279873
TOBG-MED-628_405	213.144226	0
TOBG-MED-628_406	135.104251	22.662913
TOBG-MED-628_407	120.499471	0
TOBG-MED-628_408	123.022693	0
TOBG-MED-628_409	149.897611	7.445435
TOBG-MED-628_41	132.796039	0
TOBG-MED-628_410	87.666083	5.916881
TOBG-MED-628_411	86.343345	0
TOBG-MED-628_412	150.208017	12.848533
TOBG-MED-628_413	531.787762	0
TOBG-MED-628_414	131.018683	14.654908
TOBG-MED-628_415	136.864686	0
TOBG-MED-628_416	228.246198	0
TOBG-MED-628_417	176.140231	38.047718
TOBG-MED-628_418	138.595043	19.404413
TOBG-MED-628_419	158.874861	2.353491
TOBG-MED-628_42	123.742374	38.422071
TOBG-MED-628_420	142.90802	0
TOBG-MED-628_421	171.029484	6.14245
TOBG-MED-628_422	146.384632	1.769282
TOBG-MED-628_423	170.205584	20.67185
TOBG-MED-628_424	141.753869	1.386278
TOBG-MED-628_425	133.762397	1.116451
TOBG-MED-628_426	127.084763	3.990534
TOBG-MED-628_427	187.19539	1.616967
TOBG-MED-628_428	131.934697	0
TOBG-MED-628_429	179.220357	74.145347
TOBG-MED-628_43	114.226289	9.51263
TOBG-MED-628_430	158.559919	0
TOBG-MED-628_431	150.44671	6.748407
TOBG-MED-628_432	145.336299	0
TOBG-MED-628_433	135.573509	12.190643
TOBG-MED-628_434	155.07009	4.298087
TOBG-MED-628_435	132.648737	19.41375
TOBG-MED-628_436	146.528195	0
TOBG-MED-628_437	169.223825	4.924936
TOBG-MED-628_438	143.151084	6.431324
TOBG-MED-628_439	136.811562	6.247886
TOBG-MED-628_44	185.765741	70.927689
TOBG-MED-628_440	159.336956	13.234358
TOBG-MED-628_441	164.621209	0
TOBG-MED-628_442	134.140742	0.258568
TOBG-MED-628_443	137.942805	0
TOBG-MED-628_444	188.714169	0
TOBG-MED-628_445	132.046153	2.918253
TOBG-MED-628_446	136.778947	0
TOBG-MED-628_447	208.365058	0
TOBG-MED-628_448	141.761542	23.348529
TOBG-MED-628_449	128.220711	7.274654
TOBG-MED-628_45	116.949148	0
TOBG-MED-628_450	187.468662	0
TOBG-MED-628_451	157.771108	11.45096
TOBG-MED-628_452	134.018469	2.193014
TOBG-MED-628_453	196.036858	0
TOBG-MED-628_454	120.136141	16.462227
TOBG-MED-628_455	182.760685	0
TOBG-MED-628_456	125.11818	0
TOBG-MED-628_457	122.213129	0
TOBG-MED-628_458	131.488133	1.078632
TOBG-MED-628_459	146.162259	0
TOBG-MED-628_46	94.223591	0
TOBG-MED-628_460	130.663117	0
TOBG-MED-628_461	112.652175	0
TOBG-MED-628_462	125.856943	0
TOBG-MED-628_463	140.155498	0
TOBG-MED-628_464	132.859915	0
TOBG-MED-628_465	112.42776	0
TOBG-MED-628_466	153.913485	179.38306
TOBG-MED-628_467	140.512842	14.484191
TOBG-MED-628_468	188.030427	0
TOBG-MED-628_469	133.494189	10.025775
TOBG-MED-628_47	144.58915	0
TOBG-MED-628_470	148.093732	3.644319
TOBG-MED-628_471	131.425584	1.391186
TOBG-MED-628_472	321.376392	0
TOBG-MED-628_473	143.200449	0
TOBG-MED-628_474	143.847412	7.163859
TOBG-MED-628_475	163.673313	9.059543
TOBG-MED-628_476	155.370191	162.114673
TOBG-MED-628_477	375.926974	13.132334
TOBG-MED-628_478	116.968043	8.26874
TOBG-MED-628_479	197.920448	43.90078
TOBG-MED-628_48	131.214301	0
TOBG-MED-628_480	198.750522	4.814663
TOBG-MED-628_481	151.391329	9.822154
TOBG-MED-628_482	153.472068	7.487309
TOBG-MED-628_483	147.47258	1.672842
TOBG-MED-628_484	169.177877	7.165649
TOBG-MED-628_485	315.020889	0
TOBG-MED-628_486	198.279389	0
TOBG-MED-628_487	181.860517	0
TOBG-MED-628_488	151.854062	6.562294
TOBG-MED-628_489	228.597305	0
TOBG-MED-628_49	133.985971	0
TOBG-MED-628_490	174.09441	0
TOBG-MED-628_491	151.498945	0
TOBG-MED-628_492	157.018021	0
TOBG-MED-628_493	17.630727	0
TOBG-MED-628_494	125.460705	5.269371
TOBG-MED-628_495	108.779895	0
TOBG-MED-628_496	102.944437	0
TOBG-MED-628_497	91.802996	0
TOBG-MED-628_498	104.146991	6.525234
TOBG-MED-628_499	129.588442	0
TOBG-MED-628_5	128.267877	0
TOBG-MED-628_50	96.432619	0
TOBG-MED-628_500	127.608969	0
TOBG-MED-628_501	184.529213	52.522162
TOBG-MED-628_502	131.99768	20.09524
TOBG-MED-628_503	132.162176	15.199314
TOBG-MED-628_504	158.188102	0
TOBG-MED-628_505	172.281652	0
TOBG-MED-628_506	196.012998	0
TOBG-MED-628_507	119.231461	0
TOBG-MED-628_508	118.371441	0
TOBG-MED-628_509	120.973041	0
TOBG-MED-628_51	207.099212	0
TOBG-MED-628_510	131.718905	0
TOBG-MED-628_511	127.178085	15.820741
TOBG-MED-628_512	146.636686	0
TOBG-MED-628_513	115.879915	4.671654
TOBG-MED-628_514	134.896988	0
TOBG-MED-628_515	108.995544	13.336447
TOBG-MED-628_516	121.218179	10.94436
TOBG-MED-628_517	142.452804	0
TOBG-MED-628_518	132.426347	1.558322
TOBG-MED-628_519	126.630339	0
TOBG-MED-628_52	132.138263	13.783859
TOBG-MED-628_520	122.372386	0
TOBG-MED-628_521	119.760915	0
TOBG-MED-628_522	122.213129	0
TOBG-MED-628_523	103.800818	0
TOBG-MED-628_524	148.19509	0
TOBG-MED-628_525	103.38272	0
TOBG-MED-628_526	182.760685	0
TOBG-MED-628_527	102.472498	0
TOBG-MED-628_528	157.687579	13.574221
TOBG-MED-628_529	143.767409	0
TOBG-MED-628_53	279.214572	0
TOBG-MED-628_530	130.460029	0
TOBG-MED-628_531	137.810672	0
TOBG-MED-628_532	147.669026	0
TOBG-MED-628_533	134.130175	0
TOBG-MED-628_534	125.198167	0
TOBG-MED-628_535	73.729248	0
TOBG-MED-628_536	114.566647	10.359732
TOBG-MED-628_537	129.720173	0
TOBG-MED-628_538	111.023954	5.972548
TOBG-MED-628_539	116.066925	0
TOBG-MED-628_54	105.76842	0.390655
TOBG-MED-628_540	110.729091	52.945484
TOBG-MED-628_541	323.525006	81.615607
TOBG-MED-628_542	127.079652	0
TOBG-MED-628_543	139.668875	0
TOBG-MED-628_544	111.091244	3.439422
TOBG-MED-628_545	219.018328	45.392784
TOBG-MED-628_546	102.014824	22.21741
TOBG-MED-628_547	115.345703	39.863771
TOBG-MED-628_548	49.930134	16.976917
TOBG-MED-628_549	164.441256	4.093213
TOBG-MED-628_55	122.586099	0
TOBG-MED-628_550	176.782991	0
TOBG-MED-628_551	145.272172	0
TOBG-MED-628_552	155.454912	7.32699
TOBG-MED-628_553	207.981192	0
TOBG-MED-628_554	229.369485	0
TOBG-MED-628_555	184.2127	9.711009
TOBG-MED-628_556	178.734257	0
TOBG-MED-628_557	158.240638	0
TOBG-MED-628_558	165.300448	0
TOBG-MED-628_559	126.117138	7.607221
TOBG-MED-628_56	133.56247	0
TOBG-MED-628_560	194.424306	0
TOBG-MED-628_561	154.220278	3.961421
TOBG-MED-628_562	140.862207	0
TOBG-MED-628_563	161.009356	3.815308
TOBG-MED-628_564	151.407563	7.990871
TOBG-MED-628_565	181.339327	0
TOBG-MED-628_566	142.648751	0
TOBG-MED-628_567	46.078708	0
TOBG-MED-628_568	314.169476	0
TOBG-MED-628_569	146.062943	0
TOBG-MED-628_57	152.531133	34.907138
TOBG-MED-628_570	44.692203	2.958932
TOBG-MED-628_571	58.542091	2.892808
TOBG-MED-628_572	107.321389	0
TOBG-MED-628_573	143.37679	6.028572
TOBG-MED-628_574	194.477195	0
TOBG-MED-628_575	123.742374	1.801035
TOBG-MED-628_576	145.550731	0
TOBG-MED-628_577	138.679793	0
TOBG-MED-628_578	170.20597	0
TOBG-MED-628_579	179.830582	68.60204
TOBG-MED-628_58	110.848125	3.511569
TOBG-MED-628_580	163.953543	0
TOBG-MED-628_581	174.005994	11.658095
TOBG-MED-628_582	121.693723	0
TOBG-MED-628_583	157.050081	22.374438
TOBG-MED-628_584	1122.189875	2107.355493
TOBG-MED-628_585	124.526606	9.165618
TOBG-MED-628_586	130.555299	0
TOBG-MED-628_587	336.022282	25.680529
TOBG-MED-628_588	124.822708	0.700127
TOBG-MED-628_589	93.288454	11.208242
TOBG-MED-628_59	175.382796	0
TOBG-MED-628_590	94.699049	0
TOBG-MED-628_591	107.059	12.650095
TOBG-MED-628_592	70.359352	0
TOBG-MED-628_593	194.227326	2814.664035
TOBG-MED-628_594	131.586227	2.516491
TOBG-MED-628_595	116.572966	11.831137
TOBG-MED-628_596	69.729044	0
TOBG-MED-628_6	116.743977	0
TOBG-MED-628_60	153.268677	29.155953
TOBG-MED-628_61	91.079255	0
TOBG-MED-628_62	120.956253	0
TOBG-MED-628_63	106.982829	23.475626
TOBG-MED-628_64	127.564465	0
TOBG-MED-628_65	102.746266	0
TOBG-MED-628_66	161.12237	45.659416
TOBG-MED-628_67	101.479114	4.979751
TOBG-MED-628_68	112.809459	10.209475
TOBG-MED-628_69	125.523077	63.562213
TOBG-MED-628_7	112.373942	0
TOBG-MED-628_70	140.512842	125.529657
TOBG-MED-628_71	132.087821	0
TOBG-MED-628_72	132.803757	0
TOBG-MED-628_73	131.455429	0
TOBG-MED-628_74	151.819984	0
TOBG-MED-628_75	154.537931	0
TOBG-MED-628_76	183.083844	27.507335
TOBG-MED-628_77	125.74167	20.981166
TOBG-MED-628_78	177.861438	0
TOBG-MED-628_79	122.993836	16.904134
TOBG-MED-628_8	102.254206	0
TOBG-MED-628_80	156.121713	8.299584
TOBG-MED-628_81	123.313599	6.579913
TOBG-MED-628_82	115.366095	4.870817
TOBG-MED-628_83	113.931752	10.809948
TOBG-MED-628_84	77.270644	0
TOBG-MED-628_85	73.572641	0
TOBG-MED-628_86	47.068379	0
TOBG-MED-628_87	75.708109	0
TOBG-MED-628_88	94.524405	0
TOBG-MED-628_89	81.014086	0
TOBG-MED-628_9	129.743533	0
TOBG-MED-628_90	117.882158	8.810131
TOBG-MED-628_91	169.137999	0
TOBG-MED-628_92	149.819139	0
TOBG-MED-628_93	180.156169	0
TOBG-MED-628_94	166.558656	0
TOBG-MED-628_95	182.811601	1.096507
TOBG-MED-628_96	145.827558	12.932502
TOBG-MED-628_97	171.369936	0
TOBG-MED-628_98	603.609981	0
TOBG-MED-628_99	1226.979413	396.503852
TOBG-MED-633_10	9.482067	0
TOBG-MED-633_100	0.735333	0
TOBG-MED-633_1000	2.144253	0
TOBG-MED-633_1001	4.621419	0
TOBG-MED-633_1002	4.185772	0
TOBG-MED-633_1003	5.49248	0
TOBG-MED-633_1005	4.051287	0
TOBG-MED-633_1007	1.546841	6.016175
TOBG-MED-633_1008	1.430161	10.263224
TOBG-MED-633_1009	1.936962	2.470784
TOBG-MED-633_1010	5.522727	2.669987
TOBG-MED-633_1011	5.296403	0
TOBG-MED-633_1012	6.142133	0
TOBG-MED-633_1014	2.761449	4.659527
TOBG-MED-633_1015	1.602267	8.136362
TOBG-MED-633_1018	1.685018	0
TOBG-MED-633_1019	4.076244	0
TOBG-MED-633_1020	3.090363	1.729556
TOBG-MED-633_1021	5.101041	0
TOBG-MED-633_1022	2.491545	0
TOBG-MED-633_1024	2.110367	0
TOBG-MED-633_1025	1.777974	0
TOBG-MED-633_1026	2.19951	0
TOBG-MED-633_1027	2.894646	12.306742
TOBG-MED-633_1028	2.236612	0
TOBG-MED-633_1029	4.209329	0
TOBG-MED-633_103	1.349213	0
TOBG-MED-633_1030	3.12654	0
TOBG-MED-633_1031	0.622498	0
TOBG-MED-633_1032	3.12654	0
TOBG-MED-633_1033	2.759606	0
TOBG-MED-633_1034	1.380421	0
TOBG-MED-633_1035	1.526505	0
TOBG-MED-633_1036	2.544392	0
TOBG-MED-633_1037	4.185772	0
TOBG-MED-633_1038	1.421134	0
TOBG-MED-633_1039	1.380725	13.396139
TOBG-MED-633_1040	2.50199	0
TOBG-MED-633_1041	2.578435	3.643109
TOBG-MED-633_1043	0.772528	4.573015
TOBG-MED-633_1045	2.447448	0
TOBG-MED-633_1046	2.327685	92.561442
TOBG-MED-633_1047	1.918082	0
TOBG-MED-633_1048	12.962952	0
TOBG-MED-633_105	2.531985	0
TOBG-MED-633_1052	1.265993	0
TOBG-MED-633_1053	1.861541	0.340005
TOBG-MED-633_1055	0.816245	0
TOBG-MED-633_1058	1.988895	0
TOBG-MED-633_106	0.975761	0
TOBG-MED-633_1060	1.024027	5.157525
TOBG-MED-633_1061	4.394114	0
TOBG-MED-633_1063	36.442965	0
TOBG-MED-633_1064	2.153892	0
TOBG-MED-633_1065	2.012014	0
TOBG-MED-633_1066	2.771073	0
TOBG-MED-633_1067	2.657614	6.764067
TOBG-MED-633_1070	1.158863	3.411204
TOBG-MED-633_1071	2.775599	5.972548
TOBG-MED-633_1072	1.055064	0
TOBG-MED-633_1074	2.933025	0
TOBG-MED-633_1075	1.582325	9.587188
TOBG-MED-633_1076	8.629134	0
TOBG-MED-633_108	0.758791	0
TOBG-MED-633_1081	1.696025	1.472884
TOBG-MED-633_1082	57.121723	0
TOBG-MED-633_1085	4.800326	0
TOBG-MED-633_1086	2.286684	0
TOBG-MED-633_1087	1.040441	0
TOBG-MED-633_1088	5.556497	0
TOBG-MED-633_1089	2.74181	0
TOBG-MED-633_1090	2.947475	0
TOBG-MED-633_1091	2.190232	0
TOBG-MED-633_1092	1.002284	0.841078
TOBG-MED-633_1093	1.674755	0
TOBG-MED-633_1094	3.872715	0
TOBG-MED-633_1095	1.055064	0
TOBG-MED-633_1096	2.750776	2.010859
TOBG-MED-633_1097	2.157124	0
TOBG-MED-633_1098	1.951825	0
TOBG-MED-633_1100	2.749869	2.310773
TOBG-MED-633_1101	1.340427	3.743698
TOBG-MED-633_1102	2.569574	0
TOBG-MED-633_1103	2.595796	0
TOBG-MED-633_1104	1.901497	7.272942
TOBG-MED-633_1105	1.554306	2.629142
TOBG-MED-633_1106	5.519212	0
TOBG-MED-633_1107	2.914389	0
TOBG-MED-633_1108	2.897157	0
TOBG-MED-633_1109	2.42601	0
TOBG-MED-633_111	2.556921	0
TOBG-MED-633_1110	3.758083	0
TOBG-MED-633_1111	2.064337	6.065653
TOBG-MED-633_1112	4.849184	0
TOBG-MED-633_1113	4.022723	24.678567
TOBG-MED-633_1115	2.966538	10.652386
TOBG-MED-633_1116	2.847464	3.581532
TOBG-MED-633_1117	1.582325	0
TOBG-MED-633_1119	4.046988	0
TOBG-MED-633_112	1.099755	0
TOBG-MED-633_1120	5.063971	0
TOBG-MED-633_1121	2.242332	2.075964
TOBG-MED-633_1122	1.777295	0
TOBG-MED-633_1123	3.523773	0
TOBG-MED-633_1124	5.58103	0
TOBG-MED-633_1125	8.743167	0
TOBG-MED-633_1126	2.759606	0
TOBG-MED-633_1128	0.986888	2.099226
TOBG-MED-633_1129	2.217509	0
TOBG-MED-633_113	3.406522	0
TOBG-MED-633_1130	1.029952	8.774148
TOBG-MED-633_1131	1.324101	0
TOBG-MED-633_1132	3.743221	1.069616
TOBG-MED-633_1133	2.994813	1.699307
TOBG-MED-633_1134	5.139148	0
TOBG-MED-633_1135	2.301374	0
TOBG-MED-633_1136	1.582325	2.739197
TOBG-MED-633_1138	5.764076	2.587259
TOBG-MED-633_114	2.264058	1.467354
TOBG-MED-633_1140	0.451471	0
TOBG-MED-633_1141	2.916322	0
TOBG-MED-633_1142	1.41812	2.443362
TOBG-MED-633_1143	4.39746	0
TOBG-MED-633_1144	2.6023	0
TOBG-MED-633_1145	7.616559	0
TOBG-MED-633_1147	2.110367	0
TOBG-MED-633_115	2.789162	107.394306
TOBG-MED-633_1150	2.275822	0
TOBG-MED-633_1151	5.828778	0
TOBG-MED-633_1153	2.595259	0
TOBG-MED-633_1154	1.789545	0
TOBG-MED-633_1156	1.815267	0
TOBG-MED-633_1157	2.412759	0.602978
TOBG-MED-633_1159	4.022723	0
TOBG-MED-633_116	1.944215	0
TOBG-MED-633_1160	2.019841	0
TOBG-MED-633_1161	2.525207	0
TOBG-MED-633_1167	1.387799	0
TOBG-MED-633_1168	3.271549	4.653137
TOBG-MED-633_1169	3.629119	0
TOBG-MED-633_117	2.425541	5.192947
TOBG-MED-633_1170	4.894895	0
TOBG-MED-633_1171	2.047312	1.370866
TOBG-MED-633_1172	1.808772	0
TOBG-MED-633_1173	5.240709	4.67181
TOBG-MED-633_1174	7.408924	0
TOBG-MED-633_1175	2.789162	0
TOBG-MED-633_1176	2.638105	25.256166
TOBG-MED-633_1177	3.528427	0.846047
TOBG-MED-633_1178	3.414987	0
TOBG-MED-633_1179	1.887677	4.812423
TOBG-MED-633_118	2.755707	0
TOBG-MED-633_1180	8.351562	0
TOBG-MED-633_1181	2.703349	0
TOBG-MED-633_1182	54.840016	162.40785
TOBG-MED-633_1183	1.41812	26.876984
TOBG-MED-633_1184	2.331459	9.201996
TOBG-MED-633_1185	2.22782	0
TOBG-MED-633_1187	2.076378	0
TOBG-MED-633_1188	1.74153	107.521751
TOBG-MED-633_1189	1.713285	0
TOBG-MED-633_119	0.94728	0
TOBG-MED-633_1190	4.169428	0.888299
TOBG-MED-633_1192	0.917165	0.778809
TOBG-MED-633_1193	2.180266	0
TOBG-MED-633_1194	1.513532	2.558686
TOBG-MED-633_1195	3.461229	0.829709
TOBG-MED-633_1196	1.958883	0
TOBG-MED-633_1197	3.263166	13.941253
TOBG-MED-633_1198	2.621463	4.502644
TOBG-MED-633_120	2.518675	0
TOBG-MED-633_1200	2.011362	70.51019
TOBG-MED-633_1201	2.852593	56.604353
TOBG-MED-633_1202	1.104433	82.973512
TOBG-MED-633_1203	3.734989	39.313096
TOBG-MED-633_1205	4.469762	0
TOBG-MED-633_1206	0.920417	7.034783
TOBG-MED-633_1207	3.680565	0
TOBG-MED-633_1208	4.500155	7.772063
TOBG-MED-633_1209	3.604986	0
TOBG-MED-633_121	1.46617	0
TOBG-MED-633_1210	2.620355	0
TOBG-MED-633_1211	1.025882	0
TOBG-MED-633_1213	3.34173	0
TOBG-MED-633_1215	1.980673	31.217888
TOBG-MED-633_1216	2.084714	23.09577
TOBG-MED-633_1218	6.816667	119.039118
TOBG-MED-633_1219	0.527621	24.369985
TOBG-MED-633_122	2.328117	5.874429
TOBG-MED-633_1220	3.460503	0
TOBG-MED-633_1222	1.224207	13.633484
TOBG-MED-633_1224	2.59562	2.934392
TOBG-MED-633_1225	2.470738	0
TOBG-MED-633_1226	15.193936	0
TOBG-MED-633_1227	3.201923	115.81901
TOBG-MED-633_1229	2.024103	13.590267
