Gene	DNA	RNA
TOBG-MED-1076_1101	3.57863270646839	12.9926250046565
TOBG-MED-1076_1116	0.71486004427032	4.03725635737915
TOBG-MED-1076_1131	7.72703681440285	5.4549188950848
TOBG-MED-1076_1151	2.85944017708128	15.5722745213196
TOBG-MED-1076_1195	8.81305069503409	12.3796999977737
TOBG-MED-1076_1248	5.45472883664928	3.77219069749183
TOBG-MED-1076_1298	2.92314057706576	4.29565218506148
TOBG-MED-1076_13	5.93441604590235	24.1105065592514
TOBG-MED-1076_1427	1.71276112129742	5.95927143977176
TOBG-MED-1076_15	10.3289981906814	0.520841381382004
TOBG-MED-1076_169	1.39427248303963	31.2160470891099
TOBG-MED-1076_183	0.278624228650364	5.4793717578916
TOBG-MED-1076_197	0.46798050054867	2.83175896673711
TOBG-MED-1076_199	3.06739946268719	4.5076454097788
TOBG-MED-1076_227	3.69431322148457	4.47087200368786
TOBG-MED-1076_249	1.15552719484791	4.37007323419832
TOBG-MED-1076_251	8.38069183649956	6.61457305081249
TOBG-MED-1076_252	24.7751495063196	14.277609895227
TOBG-MED-1076_253	15.0035843283613	8.06995341904132
TOBG-MED-1076_254	5.59249625793797	20.8681861755928
TOBG-MED-1076_265	11.076720281926	118.06790182803
TOBG-MED-1076_277	0.88793142340945	54.0870930644975
TOBG-MED-1076_278	4.24914944224858	204.45550688631
TOBG-MED-1076_338	8.80417194156338	15.5503108054926
TOBG-MED-1076_371	0.488533698207902	0.295612675919516
TOBG-MED-1076_377	17.5279969296411	214.776045995343
TOBG-MED-1076_443	6.19739891440881	337.088542030433
TOBG-MED-1076_46	0.71084397660588	5.16159661099918
TOBG-MED-1076_535	944.488019294084	135.703234773249
TOBG-MED-1076_549	2.30841920795159	4.772498678205
TOBG-MED-1076_579	10.7685300285827	3.98203552574326
TOBG-MED-1076_664	9.89161390247661	4.98786208880486
TOBG-MED-1076_665	2.429865862133	0.734423818351603
TOBG-MED-1076_719	26.1376996468416	56.0748101307611
TOBG-MED-1076_747	16.7589705742843	25.0141834290218
TOBG-MED-1076_755	5.9895965839454	7.2486327160383
TOBG-MED-1076_85	2.54844366235341	38.2432898281215
TOBG-MED-1076_856	3.6775361405514	16.4114706656716
TOBG-MED-1076_86	3.00495876115666	7.14334617213486
TOBG-MED-1076_887	1.54070292646389	3.72912915984923
TOBG-MED-1076_893	0.648042140004336	0.130710513125317
TOBG-MED-1094_1022	0.266941408936385	1.77679433268924
TOBG-MED-1094_1128	0.350742142303109	0.636704225057419
TOBG-MED-1094_138	0.665510731549489	3.82566726679799
TOBG-MED-1094_219	16.4431745075824	5.77088189429885
TOBG-MED-1094_230	3.14820910824646	0.224116159716515
TOBG-MED-1094_292	0.396957577524225	6.24519454005339
TOBG-MED-1094_354	0.163475746557941	4.15461846079133
TOBG-MED-1094_396	2.35248763572623	2.23692035509881
TOBG-MED-1094_43	0.664200671054313	0.401909097444381
TOBG-MED-1094_583	3.88825284002602	2.87563128875698
TOBG-MED-1094_819	0.391431485957762	8.28995794960684
TOBG-MED-1094_865	4.23178019517882	2.90207940261678
TOBG-MED-1094_96	4.23178019517882	2.90207940261678
TOBG-MED-1116_119	19.8478788762112	17.6989318948882
TOBG-MED-1116_138	43.8761718014413	6.54390453531236
TOBG-MED-1116_143	5.23934690831663	19.6561008278078
TOBG-MED-1116_172	46.944548298517	158.009687944829
TOBG-MED-1116_175	6.91422010031949	31.7969394142063
TOBG-MED-1116_199	62.8417549166109	4.4025837520592
TOBG-MED-1116_215	15.244605763355	368.366635781764
TOBG-MED-1116_217	43.3815489564599	20.3654241144418
TOBG-MED-1116_223	20.1337306858541	0.225353003865061
TOBG-MED-1116_224	23.1120083930733	1.02450806488331
TOBG-MED-1116_227	9.49433167022226	4.86118622623203
TOBG-MED-1116_25	3.35179411485686	6.76059011595184
TOBG-MED-1116_371	23.3431028292547	1.28408692768393
TOBG-MED-1116_379	9.6675056683006	0.106117370842903
TOBG-MED-1116_385	2.07639348243441	14.1348337962747
TOBG-MED-1116_391	937.621431911786	73.618926022264
TOBG-MED-1116_392	1950.45189462852	104.238600851102
TOBG-MED-1116_394	26.9931152716473	12.5054015669819
TOBG-MED-1116_430	50.0008740774704	24.2660853424206
TOBG-MED-1116_442	22.8736435753399	0.380913846085346
TOBG-MED-1116_443	1.22695978507488	12.9926250046565
TOBG-MED-1116_468	19.524857339347	11.4453245326476
TOBG-MED-1116_484	7.65193602463003	8.59894496605624
TOBG-MED-1116_487	1539.03433910479	245.730081609808
TOBG-MED-1116_584	190.173087973315	11.6073222136561
TOBG-MED-1116_585	11.212364341971	3.62898446255035
TOBG-MED-1116_599	25.4390862988983	0.171283407300122
TOBG-MED-1116_614	61.3089672732375	52.9807764656428
TOBG-MED-1116_635	19.2807966226052	84.5846403364374
TOBG-MED-1116_646	22.6669865294502	28.1254345946282
TOBG-MED-1116_647	5.58063769929094	25.9758042623086
TOBG-MED-1116_65	8.57031409874801	0.173025272459106
TOBG-MED-1116_68	9.77067396415804	0.591225351839031
TOBG-MED-1116_682	62.2834000232223	218.429301098693
TOBG-MED-1116_684	44.4104018780022	11.1307535086621
TOBG-MED-1116_782	37.9970654161702	48.436684380294
TOBG-MED-1116_797	54.4055023041707	136.515916152055
TOBG-MED-1116_818	36.2065187719013	17.2472223643027
TOBG-MED-1116_821	44.5072758886436	5.59369373977385
TOBG-MED-1116_917	46.5655339431694	0.145835586786961
TOBG-MED-1116_942	4.88314528580157	6.69127986434292
TOBG-MED-1116_946	7.84683583478119	17.0141517918121
TOBG-MED-1116_947	4.08986595024959	20.4169821501746
TOBG-MED-1116_954	4.38199923241027	25.1897831722933
TOBG-MED-1116_96	18.5033451458872	106.036584715423
TOBG-MED-1116_99	49.7059543245121	15.8905757300887
